BedsiteID,Type,Birth_Year,Habitat,Elevation,Slope,Ruggedness,Distance_Water,Canopy_Cover,50cm_Cover,100cm_Cover,150cm_Cover,Bare_ground,Grass,Crop,Forbes,Shrub,Litter
1,1,2021,CRP,573.3997192,23.75782204,11.16248894,205.7516303,7.8,25,0,0,10,25,0,7.5,0,57.5
1,0,2021,Cropland,575.4450684,13.84973145,6.471276283,255.4104663,0,100,43.75,0,5,5,90,0,0,0
1,0,2021,CRP,581.7818604,15.17710018,5.950230122,204.375923,0,98.75,12.5,0,2.5,5,72.5,0,0,20
2,1,2021,CRP,570.7672729,16.2903614,7.176954746,176.4754348,41.08,30,30,15,45,26,0,1,0,28
2,0,2021,CRP,583.4834595,16.58102608,6.097224236,190.7362187,0,70,15,0,2.5,35,0,25,0,37.5
2,0,2021,CRP,575.0351563,11.66860294,7.124809265,227.9980107,31.25,71.25,42.5,20,2.5,22.5,45,2.5,0,27.5
3,1,2021,Forest,921.0119019,8.1772995,3.949153662,18.35418349,8.585,77.5,2.5,0,0,55,0,0,0,45
3,0,2021,Grassland,918.0090942,11.16910172,3.591785669,1.321735765,10,100,95,53.75,0,92.5,0,7.5,0,0
3,0,2021,Grassland,936.1997681,11.44881058,6.856051445,70.38658432,9.5,95.75,12.5,15,0,35,0,7.5,0,57.5
8,1,2021,CRP,413.3777161,17.16920662,8.286600113,464.0191743,1.56,65,46.25,13.75,0,35,0,10,0,57.5
8,0,2021,CRP,419.0031738,19.53544426,7.236916065,473.0518459,0,81.25,33.75,0,2.5,27.5,0,60,0,10
8,0,2021,CRP,402.8858948,8.481022835,3.832645178,482.0722504,0,67.5,20,0,0,60,0,20,0,20
9,1,2021,Shrubs,728.4493408,19.00293922,7.151730061,73.96419101,0,75,20,0,0,77.5,0,0,20,2.5
9,0,2021,Grassland,707.5565796,32.06955338,15.06639576,24.771988,0,27.5,0,0,0,95,0,5,0,0
9,0,2021,Grassland,722.1702271,16.7242012,7.517674923,65.67879707,0,25,0,0,2.5,80,0,17.5,0,0
10,1,2021,Shrubs,728.5130615,24.04364586,9.601166725,73.30232271,0,40,25,7.5,67.5,0,0,0,27.5,5
10,0,2021,Grassland,730.6185913,29.13329315,11.74067402,72.4692965,0,43.75,0,0,2.5,87.5,0,10,0,0
10,0,2021,Grassland,722.1702271,17.05204391,7.708052158,60.48818907,0,48.75,0,0,5,87.5,0,7.5,0,0
11,1,2021,Grassland,613.9677734,17.62509727,6.582652569,2.019160169,84.63,95,56.25,51.25,10,50,0,40,0,0
11,0,2021,Grassland,612.0610962,8.039049149,3.46851182,14.81512838,0,85,33.75,12.5,0,20,0,80,0,0
11,0,2021,CRP,625.9316406,21.0160408,6.823653698,43.54014851,0,98.75,37.5,10.5,0,90,0,7.5,0,2.5
12,1,2021,Grassland,470.019165,4.330332756,5.073679447,4.810262704,1.3,87.5,51.25,17.5,2.5,97.5,0,0,0,0
12,0,2021,Grassland,475.2171326,10.33516312,4.31802702,34.3312149,0,91.25,35,2.75,0,60,0,0,0,40
12,0,2021,Grassland,476.6842346,19.14291954,6.135015488,15.86545108,0,97.5,55,3,0,75,0,0,0,25
13,1,2021,Shrubs,676.5021362,30.61819077,13.19528008,15.32475675,100,65.75,60,70,0,40,0,0.5,50,9.5
13,0,2021,Grassland,667.166748,13.3080101,8.649282455,0.333155485,0,23.75,3.75,0,40,32.5,0,5,0,22.5
13,0,2021,Grassland,703.8808594,27.78001595,10.21895885,59.57891098,0,53.75,1.25,0,24.5,55,0,10.5,0,10
14,1,2021,Shrubs,673.8905029,25.52206993,12.33273125,18.19167521,35.365,35,15,17.5,0,65,0,2.5,45,0
14,0,2021,Grassland,701.8150024,30.88707352,11.8617487,56.09361306,0,40,5,0,10,65,0,7.5,7.5,10
14,0,2021,Grassland,677.8265381,23.24511909,8.420449257,25.98851289,0,60,0,0,40,10,0,2.5,10,37.5
15,1,2021,Shrubs,679.414856,26.37684441,9.559274673,9.591610505,5.2,75,20,0,0,35,0,10,5,0
